participant_id,age,role,task_id,success,time_sec,errors,help_requested,understand_pending_1to5,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,sus_total
P1,62,elder_proxy,T1,1,95,1,0,,,,,,,,,,,,
P1,62,elder_proxy,T2,1,78,0,0,,,,,,,,,,,,
P1,62,elder_proxy,T3,1,52,0,0,4,,,,,,,,,,,,
P1,62,elder_proxy,T4,1,41,0,0,,,,,,,,,,,,
P1,62,elder_proxy,SUS,1,0,0,0,,4,2,5,1,4,2,5,1,4,2,82.5
P2,58,elder_proxy,T1,1,110,2,1,,,,,,,,,,,,
P2,58,elder_proxy,T2,1,92,1,0,,,,,,,,,,,,
P2,58,elder_proxy,T3,1,68,1,0,3,,,,,,,,,,,,
P2,58,elder_proxy,T4,1,55,0,0,,,,,,,,,,,,
P2,58,elder_proxy,SUS,1,0,0,0,,3,2,4,2,4,2,4,2,3,2,75.0
P3,67,elder,T1,1,145,3,1,,,,,,,,,,,,
P3,67,elder,T2,1,120,2,1,,,,,,,,,,,,
P3,67,elder,T3,1,88,0,0,5,,,,,,,,,,,,
P3,67,elder,T4,1,62,0,0,,,,,,,,,,,,
P3,67,elder,SUS,1,0,0,0,,5,1,5,1,5,1,5,1,5,1,90.0
P4,24,proxy,T1,1,62,0,0,,,,,,,,,,,,
P4,24,proxy,T2,1,45,0,0,,,,,,,,,,,,
P4,24,proxy,T3,1,38,0,0,5,,,,,,,,,,,,
P4,24,proxy,T4,1,28,0,0,,,,,,,,,,,,
P4,24,proxy,SUS,1,0,0,0,,4,2,4,1,4,2,4,1,4,2,80.0
P5,28,proxy,T1,1,55,0,0,,,,,,,,,,,,
P5,28,proxy,T2,1,40,0,0,,,,,,,,,,,,
P5,28,proxy,T3,0,120,2,1,2,,,,,,,,,,,,
P5,28,proxy,T4,1,35,0,0,,,,,,,,,,,,
P5,28,proxy,SUS,1,0,0,0,,3,2,4,2,3,2,4,2,3,2,72.5
P6,71,elder,T1,1,180,4,2,,,,,,,,,,,,
P6,71,elder,T2,1,155,3,2,,,,,,,,,,,,
P6,71,elder,T3,1,95,1,0,4,,,,,,,,,,,,
P6,71,elder,T4,1,70,0,0,,,,,,,,,,,,
P6,71,elder,SUS,1,0,0,0,,5,1,5,1,4,1,5,1,4,1,87.5
